,top5,top10,top15,top20,top25
all,0.4688780487804879,0.7184146341463415,0.8120813008130081,0.9025365853658538,0.9227121951219512
comm0,0.5138260869565218,0.800304347826087,0.8890434782608696,0.9720000000000001,1.0
comm1,0.41144444444444445,0.6137777777777776,0.7137407407407408,0.8137777777777777,0.8239555555555556
0,0.0,0.023000000000000003,0.048,0.075,0.09359999999999999
1,0.0,0.0,0.06199999999999999,1.0,1.0
2,0.0,1.0,1.0,1.0,1.0
3,0.024000000000000004,0.066,0.10399999999999998,0.15100000000000002,0.18240000000000006
4,0.24799999999999997,0.245,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,1.0,1.0,1.0
9,0.08999999999999998,0.233,0.27399999999999997,0.3559999999999999,1.0
10,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,0.05000000000000001,0.079,0.1426666666666666,0.18099999999999994,0.23200000000000004
13,1.0,1.0,1.0,1.0,1.0
14,0.264,0.43099999999999994,1.0,1.0,1.0
15,0.0,1.0,1.0,1.0,1.0
16,0.44000000000000006,0.7430000000000001,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0
18,0.0,0.0,0.11199999999999999,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
21,0.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0
23,0.0,1.0,1.0,1.0,1.0
24,0.0,0.3299999999999999,1.0,1.0,1.0
25,0.08399999999999999,0.14,0.19599999999999995,0.24100000000000002,0.32319999999999993
26,1.0,1.0,1.0,1.0,1.0
27,0.488,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0
30,0.0,0.0,1.0,1.0,1.0
31,0.17199999999999996,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0
33,0.0,0.04,0.10066666666666664,1.0,1.0
34,0.0,1.0,1.0,1.0,1.0
35,0.0,0.12499999999999999,0.25599999999999995,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0
37,0.16199999999999995,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0
40,0.20199999999999996,1.0,1.0,1.0,1.0
